Valor,TipoAluguel,Iptu,Area,Quartos,Banheiros,Vagas,Cidade,Endereco
"
3000
",mês, 317,"
320
","
5
","
3
",0,florianopolis,"Rua Professora Antonieta de Barros, Estreito"
"
1000
",dia,0,"
220
","
3
","
2
","
3
",florianopolis,"Canasvieiras, Florianópolis"
"
2990
",mês,0,"
110
","
3
","
2
","
4
",florianopolis,"Servidão Nelson Conrado da Silva, Campeche"
"
1300
",mês, 60,"
90
","
2
","
1
",0,florianopolis,"Servidão José de Oliveira, Barra da Lagoa"
"
1450
",mês,0,"
60
","
2
","
1
",0,florianopolis,"Rodovia Francisco Thomaz dos Santos, Armação do Pântano do Sul"
"
4500
",mês, 145,"
172
","
3
","
3
","
2
",florianopolis,"Barra da Lagoa, Florianópolis"
"
3500
",mês, 102,"
200
","
3
","
3
","
1
",florianopolis,"Rua Acadêmico Reinaldo Consoni, Santa Mônica"
"
1200
",dia,0,"
380
","
4
","
2
",0,florianopolis,"Avenida dos Bonitos, Jurerê Internacional"
"
1550
",mês, 55,"
100
","
3
","
2
","
1
",florianopolis,"Rua Marcelino Simas, Estreito"
"
3100
",mês, 124,"
110
","
2
","
2
","
1
",florianopolis,"Rua Acadêmico Reinaldo Consoni, Córrego Grande"
"
5500
",mês, 175,"
260
","
5
","
4
","
2
",florianopolis,"Rua Vereador Frederico Veras, Pantanal"
"
800
",dia,0,"
250
","
4
","
4
","
4
",florianopolis,"Rodovia Tertuliano Brito Xavier, Jurerê"
"
550
",dia,0,"
280
","
3
","
1
","
2
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
1300
",dia,0,"
250
","
4
","
5
","
2
",florianopolis,"Rua Mário Moura, Cachoeira do Bom Jesus"
"
6000
",dia,0,"
185
","
5
","
1
","
4
",florianopolis,"Avenida dos Salmões, Jurerê Internacional"
"
1100
",dia,0,"
120
","
3
","
3
","
2
",florianopolis,"Rua das Tibiras, Jurerê Internacional"
"
7000
",dia,0,"
300
","
4
","
1
","
3
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
450
",dia,0,"
90
","
2
","
3
",0,florianopolis,"Rodovia Jornalista Manoel de Menezes, Praia Mole"
"
5600
",mês, 101,"
450
","
5
","
4
","
5
",florianopolis,"Servidão Luiz Zilli, José Mendes"
"
1500
",mês,0,"
79
","
2
","
1
","
2
",florianopolis,"Servidão Luiz Roque da Cunha, Ingleses do Rio Vermelho"
"
7500
",mês, 110,"
309
","
4
","
4
","
2
",florianopolis,"Rua Professor Clóvis Menel Calliari, Joao Paulo"
"
1800
",dia,0,"
285
","
4
","
1
","
3
",florianopolis,"Rua dos Surubins, Jurerê Internacional"
"
750
",dia,0,"
110
","
3
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses Norte"
"
2500
",dia,0,"
480
","
10
","
9
","
4
",florianopolis,"Avenida das Lagostas, Jurerê Internacional"
"
1000
",dia,0,"
150
","
4
","
3
","
2
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
"
1700
",dia,0,"
245
","
4
","
1
","
4
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
2000
",dia,0,"
400
","
6
","
7
","
2
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
650
",dia,0,"
180
","
3
","
2
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
1700
",mês, 76,"
192
","
3
","
3
","
2
",florianopolis,"Rua do Sol Nascente, Tapera"
"
1500
",mês,0,"
60
","
1
","
1
","
1
",florianopolis,"Lagoa da Conceição, Florianópolis"
"
610
",dia,0,"
150
","
2
","
1
","
2
",florianopolis,"Rua Doutor Antônio Prudente de Moraes, Canasvieiras"
"
2200
",mês, 106,"
86
","
2
","
2
","
1
",florianopolis,"Servidão Francisco Monn, Centro"
"
1000
",dia,0,"
200
","
4
","
5
","
1
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
2800
",mês,0,"
58
","
1
","
1
","
1
",florianopolis,"Rio Tavares, Florianópolis"
"
2600
",mês,0,"
90
","
2
","
1
","
2
",florianopolis,"Rua João Pacheco da Costa, Lagoa da Conceição"
"
1300
",mês, 75,"
70
","
1
","
1
","
1
",florianopolis,"Sambaqui, Florianópolis"
"
3450
",mês, 47,"
96
","
4
","
3
","
4
",florianopolis,"Servidão Corintians, Pantanal"
"
2600
",mês, 190,"
130
","
3
","
1
","
3
",florianopolis,"Servidão Maria do Nascimento Costa, Vargem do Bom Jesus"
"
450
",dia,0,"
200
","
4
","
2
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
3500
",mês, 76,"
248
","
3
","
2
","
1
",florianopolis,"Rua Antônio Mattos Areas, Balneário"
"
2300
",mês, 8,"
360
","
3
","
2
","
2
",florianopolis,"Rua Celso Martins da Silveira, Carianos"
"
1700
",mês, 43,"
60
","
2
","
1
","
1
",florianopolis,"Campeche, Florianópolis"
"
1000
",dia,0,"
120
","
3
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
